method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202807_028_edited.swc,pyramidal,38279,0.9377,0.7071
neurom_rf,hpf_ca1__202809_005_edited.swc,pyramidal,42184,0.9723,0.8743
neurom_rf,hpf_ca1__202829_049_edited.swc,pyramidal,46877,0.9600,0.8329
neurom_rf,hpf_ca1__202829_057_edited.swc,pyramidal,15510,0.9649,0.9028
neurom_rf,hpf_ca1__202829_061_edited.swc,pyramidal,35800,0.6831,0.6418
neurom_rf,hpf_ca1__202829_066_edited.swc,pyramidal,18700,0.9417,0.8141
neurom_rf,hpf_ca1__202829_095_edited.swc,pyramidal,8287,0.9159,0.8422
neurom_rf,hpf_ca1__202829_099_edited.swc,pyramidal,12775,0.9556,0.8591
neurom_rf,hpf_ca1__202829_121_edited.swc,pyramidal,11462,0.9318,0.8566
neurom_rf,hpf_ca1__202831_001_edited.swc,pyramidal,15834,0.9082,0.7054
neurom_rf,hpf_ca1__210009_012_edited.swc,pyramidal,17495,0.9184,0.7088
neurom_rf,hpf_ca1__210009_025_edited.swc,pyramidal,31946,0.9530,0.7758
neurom_rf,hpf_ca1__210012_002_edited.swc,pyramidal,37117,0.9664,0.8703
neurom_rf,hpf_ca1__210013_014_edited.swc,pyramidal,16151,0.9071,0.8410
neurom_rf,hpf_ca1__210014_017_edited.swc,pyramidal,62516,0.9738,0.7623
neurom_rf,hpf_ca1__210014_024_edited.swc,pyramidal,56052,0.9776,0.7148
neurom_rf,hpf_ca1__210014_033_edited.swc,pyramidal,73147,0.9916,0.9094
neurom_rf,hpf_ca1__210014_037_edited.swc,pyramidal,12503,0.9055,0.8060
neurom_rf,hpf_ca1__210014_055_edited.swc,pyramidal,39205,0.9825,0.8485
neurom_rf,hpf_ca1__210014_061_edited.swc,pyramidal,45975,0.9362,0.7832
neurom_rf,hpf_ca1__210014_069_edited.swc,pyramidal,17111,0.9432,0.7479
neurom_rf,hpf_ca1__210014_074_edited.swc,pyramidal,26033,0.9607,0.8127
neurom_rf,hpf_ca1__210014_079_edited.swc,pyramidal,24852,0.9568,0.8414
neurom_rf,hpf_ca1__210107_018_edited.swc,pyramidal,19372,0.9567,0.8843
neurom_rf,hpf_ca1__210107_026_edited.swc,pyramidal,17838,0.9593,0.8469
neurom_rf,hpf_ca1__210107_029_edited.swc,pyramidal,12726,0.1353,0.3553
neurom_rf,hpf_ca1__210107_034_edited.swc,pyramidal,23453,0.9531,0.8526
neurom_rf,hpf_ca1__210107_047_edited.swc,pyramidal,23770,0.9558,0.8653
neurom_rf,hpf_ca1__210107_052_edited.swc,pyramidal,22328,0.9592,0.8125
neurom_rf,hpf_ca1__210107_053_edited.swc,pyramidal,15647,0.9480,0.8659
neurom_rf,hpf_ca1__210109_004_edited.swc,pyramidal,123646,0.9895,0.8573
neurom_rf,hpf_ca1__210109_007_edited.swc,pyramidal,30471,0.9682,0.8630
neurom_rf,hpf_ca1__210109_046_edited.swc,pyramidal,10967,0.9103,0.7680
neurom_rf,hpf_ca1__210110_003_edited.swc,pyramidal,26920,0.9659,0.8887
neurom_rf,hpf_ca1__210110_007_edited.swc,pyramidal,13354,0.9270,0.8408
neurom_rf,hpf_ca1__210110_020_edited.swc,pyramidal,16349,0.9265,0.7980
neurom_rf,hpf_ca1__210110_022_edited.swc,pyramidal,14371,0.8954,0.7605
neurom_rf,hpf_ca1__210110_047_edited.swc,pyramidal,12428,0.9191,0.8240
neurom_rf,hpf_ca1__210111_005_edited.swc,pyramidal,35321,0.9799,0.9045
neurom_rf,hpf_ca1__210111_020_edited.swc,pyramidal,54632,0.9790,0.8205
neurom_rf,hpf_ca1__210111_095_edited.swc,pyramidal,22300,0.9710,0.9028
neurom_rf,hpf_ca1__210111_098_edited.swc,pyramidal,8997,0.8171,0.6445
neurom_rf,hpf_ca1__210111_161_edited.swc,pyramidal,23406,0.8373,0.7788
neurom_rf,hpf_ca1__210111_193_edited.swc,pyramidal,35410,0.8593,0.8335
neurom_rf,hpf_ca1__210132_004_edited.swc,pyramidal,18415,0.9449,0.7859
neurom_rf,hpf_ca1__210248_012_edited.swc,pyramidal,66197,0.9808,0.8996
neurom_rf,hpf_ca1__210248_013_edited.swc,pyramidal,48435,0.9770,0.8679
neurom_rf,hpf_ca1__210248_026_edited.swc,pyramidal,31542,0.9745,0.9041
neurom_rf,hpf_ca1__210248_049_edited.swc,pyramidal,45997,0.9493,0.7294
neurom_rf,hpf_ca1__210249_008_edited.swc,pyramidal,23651,0.9644,0.8927
neurom_rf,hpf_ca1__210253_001_edited.swc,pyramidal,29412,0.9508,0.8189
neurom_rf,hpf_ca1__210253_003_edited.swc,pyramidal,29109,0.9803,0.9154
neurom_rf,hpf_ca1__210253_004_edited.swc,pyramidal,26145,0.9544,0.8388
neurom_rf,hpf_ca1__210253_014_edited.swc,pyramidal,37312,0.9742,0.8730
neurom_rf,hpf_ca1__210253_018_edited.swc,pyramidal,16666,0.9517,0.8594
neurom_rf,hpf_ca1__210665_038_edited.swc,pyramidal,18554,0.9188,0.6934
neurom_rf,hpf_ca1__210671_034_edited.swc,pyramidal,19598,0.9517,0.8371
neurom_rf,hpf_ca1__210671_035_edited.swc,pyramidal,8490,0.9472,0.8870
neurom_rf,hpf_ca1__210698_007_edited.swc,pyramidal,21438,0.9498,0.8662
neurom_rf,hpf_ca1__210698_026_edited.swc,pyramidal,16259,0.9348,0.8220
neurom_rf,hpf_ca1__210701_011_edited.swc,pyramidal,46371,0.9264,0.7704
neurom_rf,hpf_ca1__210701_015_edited.swc,pyramidal,15767,0.9379,0.8322
neurom_rf,hpf_ca1__210701_017_edited.swc,pyramidal,90478,0.8889,0.5871
neurom_rf,hpf_ca1__210702_015_edited.swc,pyramidal,21220,0.9785,0.9351
neurom_rf,hpf_ca1__210702_029_edited.swc,pyramidal,22419,0.9268,0.9052
neurom_rf,hpf_ca1__210703_019_edited.swc,pyramidal,44561,0.8608,0.7982
neurom_rf,hpf_ca1__210703_025_edited.swc,pyramidal,22735,0.9477,0.7777
neurom_rf,hpf_ca1__210711_011_edited.swc,pyramidal,17556,0.9372,0.8102
neurom_rf,hpf_ca1__210711_012_edited.swc,pyramidal,34008,0.9057,0.7545
neurom_rf,hpf_ca1__210711_021_edited.swc,pyramidal,35761,0.9066,0.6748
lmeasure_rf,hpf_ca1__201983_017_edited.swc,pyramidal,10101,1.0000,1.0000
lmeasure_rf,hpf_ca1__201990_006_edited.swc,pyramidal,66497,1.0000,1.0000
lmeasure_rf,hpf_ca1__201990_018_edited.swc,pyramidal,8684,0.8687,0.5759
lmeasure_rf,hpf_ca1__201990_024_edited.swc,pyramidal,22256,0.9463,0.5784
lmeasure_rf,hpf_ca1__201990_025_edited.swc,pyramidal,86114,0.9791,0.6397
lmeasure_rf,hpf_ca1__201990_031_edited.swc,pyramidal,55514,0.9615,0.7393
lmeasure_rf,hpf_ca1__201990_041_edited.swc,pyramidal,50121,1.0000,1.0000
lmeasure_rf,hpf_ca1__201990_069_edited.swc,pyramidal,27674,1.0000,1.0000
lmeasure_rf,hpf_ca1__202217_016_edited.swc,pyramidal,26143,1.0000,1.0000
lmeasure_rf,hpf_ca1__202217_018_edited.swc,pyramidal,45687,1.0000,1.0000
lmeasure_rf,hpf_ca1__202217_021_edited.swc,pyramidal,22279,1.0000,0.9997
lmeasure_rf,hpf_ca1__202217_023_edited.swc,pyramidal,16882,1.0000,1.0000
lmeasure_rf,hpf_ca1__202219_003_edited.swc,pyramidal,16614,1.0000,1.0000
