file,cell_type_gt,held_out_F1,in_bottom,n_categories,categories
neuromorpho__C916-WT-M8base-whole-5.swc,pyramidal,0.4417,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__554-2-L1.swc,pyramidal,0.4444,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__Htr3a-Cre_NO152_Ai14-286731-04-02-01_645075254_m.swc,interneuron,0.4484,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__Green_7-5weeks_Neuron7.swc,pyramidal,0.45,yes,1,BASAL_LOST
neuromorpho__1128-3-Sec1-LTL1.swc,pyramidal,0.451,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__ADP14_2508_biocytin.swc,interneuron,0.4552,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__G7-11.swc,pyramidal,0.456,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__I0319_5B.swc,pyramidal,0.4564,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|BASAL_LOST
neuromorpho__Cell-5-1.swc,interneuron,0.4633,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__14-1-15-A-A4.swc,interneuron,0.4671,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__VS4-cobalt.swc,interneuron,0.468,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__A4_slide2_neuron1_II_III.swc,pyramidal,0.4733,yes,4,APICAL_OVERPREDICTED|APICAL_INVERTED|BASAL_LOST|TRUNCATED_APICAL
hpf_ca1__202426_026_edited.swc,pyramidal,0.4766,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST
allen__H16.06.007.01.07.04_531526539.swc,pyramidal,0.4781,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__236-3-44LS.swc,pyramidal,0.4787,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__1460-2-Sec5-LTL2.swc,pyramidal,0.479,yes,1,BASAL_LOST
neuromorpho__VS1-cobalt.swc,interneuron,0.4801,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__SW150113-01RabiesPHALPFC_x772_y876_z296_4.swc,pyramidal,0.4807,yes,1,BASAL_LOST
