path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_010_edited.swc,pyramidal/swc/hpf_ca1__202252_010_edited.swc,pyramidal,hpf_ca1,621292,True,True,True,True,True,True,True,True,True,11173,1,8576,1050,1546,0,1,0,0,,1,1,0,11173,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_011_edited.swc,pyramidal/swc/hpf_ca1__202252_011_edited.swc,pyramidal,hpf_ca1,3923368,True,True,True,True,True,True,True,True,True,68446,1,66359,1266,820,0,1,0,0,,1,1,0,68446,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_012_edited.swc,pyramidal/swc/hpf_ca1__202252_012_edited.swc,pyramidal,hpf_ca1,2448453,True,True,True,True,True,True,True,True,True,42856,1,40750,2105,0,0,1,0,1,12:1,1,1,0,42856,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_013_edited.swc,pyramidal/swc/hpf_ca1__202252_013_edited.swc,pyramidal,hpf_ca1,1733903,True,True,True,True,True,True,True,True,True,30464,1,27889,2574,0,0,1,0,0,,1,1,0,30464,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_014_edited.swc,pyramidal/swc/hpf_ca1__202252_014_edited.swc,pyramidal,hpf_ca1,3053289,True,True,True,True,True,True,True,True,True,53355,1,51831,1523,0,0,1,0,0,,1,1,0,53355,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_015_edited.swc,pyramidal/swc/hpf_ca1__202252_015_edited.swc,pyramidal,hpf_ca1,942679,True,True,True,True,True,True,True,True,True,16734,1,15327,1406,0,0,1,0,0,,1,1,0,16734,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_019_edited.swc,pyramidal/swc/hpf_ca1__202252_019_edited.swc,pyramidal,hpf_ca1,1946074,True,True,True,True,True,True,True,True,True,34143,1,30465,3677,0,0,1,0,0,,1,1,0,34143,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202254_001_edited.swc,pyramidal/swc/hpf_ca1__202254_001_edited.swc,pyramidal,hpf_ca1,4736810,True,True,True,True,True,True,True,True,True,82557,1,78827,3729,0,0,1,0,30,"10:29,11:1",1,1,0,82557,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202255_007_edited.swc,pyramidal/swc/hpf_ca1__202255_007_edited.swc,pyramidal,hpf_ca1,810958,True,True,True,True,True,True,True,True,True,14447,1,11258,1279,1909,0,1,0,0,,1,1,0,14447,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202256_040_edited.swc,pyramidal/swc/hpf_ca1__202256_040_edited.swc,pyramidal,hpf_ca1,2069670,True,True,True,True,True,True,True,True,True,36283,1,33750,730,1802,0,1,0,35,"10:34,12:1",1,1,0,36283,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202256_060_edited.swc,pyramidal/swc/hpf_ca1__202256_060_edited.swc,pyramidal,hpf_ca1,1108422,True,True,True,True,True,True,True,True,True,19609,1,18105,1503,0,0,1,0,4,12:4,1,1,0,19609,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_019_edited.swc,pyramidal/swc/hpf_ca1__202258_019_edited.swc,pyramidal,hpf_ca1,3062621,True,True,True,True,True,True,True,True,True,53511,1,50165,1526,1819,0,1,0,7,"10:5,11:2",1,1,0,53511,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_023_edited.swc,pyramidal/swc/hpf_ca1__202258_023_edited.swc,pyramidal,hpf_ca1,247595,True,True,True,True,True,True,True,True,True,4482,1,2015,2466,0,0,1,0,6,10:6,1,1,0,4482,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_024_edited.swc,pyramidal/swc/hpf_ca1__202258_024_edited.swc,pyramidal,hpf_ca1,2575214,True,True,True,True,True,True,True,True,True,45054,1,43034,726,1293,0,1,0,104,"0:73,10:29,12:2",1,1,0,45054,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_025_edited.swc,pyramidal/swc/hpf_ca1__202258_025_edited.swc,pyramidal,hpf_ca1,452718,True,True,True,True,True,True,True,True,True,8169,1,5952,2216,0,0,1,0,12,"10:10,11:1,12:1",1,1,0,8169,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_026_edited.swc,pyramidal/swc/hpf_ca1__202258_026_edited.swc,pyramidal,hpf_ca1,4670900,True,True,True,True,True,True,True,True,True,81411,1,77402,828,3180,0,1,0,9,10:9,1,1,0,81411,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_033_edited.swc,pyramidal/swc/hpf_ca1__202258_033_edited.swc,pyramidal,hpf_ca1,1854927,True,True,True,True,True,True,True,True,True,32563,1,30581,1981,0,0,1,0,30,"10:29,12:1",1,1,0,32563,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_039_edited.swc,pyramidal/swc/hpf_ca1__202258_039_edited.swc,pyramidal,hpf_ca1,520536,True,True,True,True,True,True,True,True,True,9388,1,7285,2102,0,0,1,0,0,,1,1,0,9388,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_042_edited.swc,pyramidal/swc/hpf_ca1__202258_042_edited.swc,pyramidal,hpf_ca1,4624891,True,True,True,True,True,True,True,True,True,80616,1,75544,1891,3180,0,1,0,2,"10:1,11:1",1,1,0,80616,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_043_edited.swc,pyramidal/swc/hpf_ca1__202258_043_edited.swc,pyramidal,hpf_ca1,2656897,True,True,True,True,True,True,True,True,True,46476,1,44018,2457,0,0,1,0,6,"10:3,11:2,12:1",1,1,0,46476,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_044_edited.swc,pyramidal/swc/hpf_ca1__202258_044_edited.swc,pyramidal,hpf_ca1,2660591,True,True,True,True,True,True,True,True,True,46542,1,43108,1213,2220,0,1,0,3,10:3,1,1,0,46542,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_045_edited.swc,pyramidal/swc/hpf_ca1__202258_045_edited.swc,pyramidal,hpf_ca1,5373727,True,True,True,True,True,True,True,True,True,93614,1,88781,1844,2988,0,1,0,10,10:10,1,1,0,93614,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_048_edited.swc,pyramidal/swc/hpf_ca1__202258_048_edited.swc,pyramidal,hpf_ca1,2330039,True,True,True,True,True,True,True,True,True,40801,1,38426,606,1768,0,1,0,6,10:6,1,1,0,40801,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202258_049_edited.swc,pyramidal/swc/hpf_ca1__202258_049_edited.swc,pyramidal,hpf_ca1,1914490,True,True,True,True,True,True,True,True,True,33593,1,31442,610,1540,0,1,0,21,"10:19,11:1,12:1",1,1,0,33593,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_054_edited.swc,pyramidal/swc/hpf_ca1__202259_054_edited.swc,pyramidal,hpf_ca1,1484011,True,True,True,True,True,True,True,True,True,26126,1,24681,567,877,0,1,0,4,10:4,1,1,0,26126,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_060_edited.swc,pyramidal/swc/hpf_ca1__202259_060_edited.swc,pyramidal,hpf_ca1,1825530,True,True,True,True,True,True,True,True,True,32050,1,29821,827,1401,0,1,0,5,10:5,1,1,0,32050,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_063_edited.swc,pyramidal/swc/hpf_ca1__202259_063_edited.swc,pyramidal,hpf_ca1,4888804,True,True,True,True,True,True,True,True,True,85190,1,81671,1462,2056,0,1,0,10,10:10,1,1,0,85190,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_064_edited.swc,pyramidal/swc/hpf_ca1__202259_064_edited.swc,pyramidal,hpf_ca1,3155995,True,True,True,True,True,True,True,True,True,55128,1,52839,861,1427,0,1,0,12,10:12,1,1,0,55128,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_069_edited.swc,pyramidal/swc/hpf_ca1__202259_069_edited.swc,pyramidal,hpf_ca1,3755069,True,True,True,True,True,True,True,True,True,65527,1,63245,1074,1207,0,1,0,7,10:7,1,1,0,65527,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_070_edited.swc,pyramidal/swc/hpf_ca1__202259_070_edited.swc,pyramidal,hpf_ca1,3163505,True,True,True,True,True,True,True,True,True,55269,1,52191,1203,1874,0,1,0,5,10:5,1,1,0,55269,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_076_edited.swc,pyramidal/swc/hpf_ca1__202259_076_edited.swc,pyramidal,hpf_ca1,2234378,True,True,True,True,True,True,True,True,True,39141,1,37043,608,1489,0,1,0,8,"10:7,12:1",1,1,0,39141,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_077_edited.swc,pyramidal/swc/hpf_ca1__202259_077_edited.swc,pyramidal,hpf_ca1,4736328,True,True,True,True,True,True,True,True,True,82550,1,79463,915,2171,0,1,0,16,"10:15,12:1",1,1,0,82550,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_079_edited.swc,pyramidal/swc/hpf_ca1__202259_079_edited.swc,pyramidal,hpf_ca1,3129332,True,True,True,True,True,True,True,True,True,54665,1,52137,122,2405,0,1,0,8,"10:6,11:2",1,1,0,54665,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_088_edited.swc,pyramidal/swc/hpf_ca1__202259_088_edited.swc,pyramidal,hpf_ca1,2537927,True,True,True,True,True,True,True,True,True,44409,1,41245,919,2244,0,1,0,18,"10:17,12:1",1,1,0,44409,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202259_108_edited.swc,pyramidal/swc/hpf_ca1__202259_108_edited.swc,pyramidal,hpf_ca1,2128369,True,True,True,True,True,True,True,True,True,37319,1,35782,1536,0,0,1,0,26,"0:5,10:21",1,1,5,37324,True,
