family,scope,experiment,target,target_recall_setting,model,feature_set,precision,recall,flagged_total,actually_bad_flagged_tp,false_flags_fp,missed_bad_fn,bad_total_in_test,accuracy,kept_f1_p10,saved_bundle,source
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.9,two_stage,max_validation_percentile,0.0551181102362204,1.0,127,7,120,0,7,0.0909090909090909,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.95,hgb,full,0.0598290598290598,1.0,117,7,110,0,7,0.1666666666666666,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.95,rf,numeric_only,0.0673076923076923,1.0,104,7,97,0,7,0.2651515151515151,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.95,extra_trees,no_lab,0.0721649484536082,1.0,97,7,90,0,7,0.3181818181818182,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.95,extra_trees,numeric_only,0.0654205607476635,1.0,107,7,100,0,7,0.2424242424242424,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,extra_trees,numeric_only,0.0625,1.0,112,7,105,0,7,0.2045454545454545,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,extra_trees,numeric_only,0.0583333333333333,1.0,120,7,113,0,7,0.1439393939393939,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.95,two_stage,max_validation_percentile,0.056910569105691,1.0,123,7,116,0,7,0.1212121212121212,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.95,two_stage,max_validation_percentile,0.0551181102362204,1.0,127,7,120,0,7,0.0909090909090909,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.5,hgb,full,0.5925925925925926,0.4571428571428571,27,16,11,19,35,0.9140401146131804,0.72743,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_cell_f060,cell_f060,0.5,hgb,no_lab,0.64,0.4571428571428571,25,16,9,19,35,0.9197707736389684,0.72849,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.5,hgb,full,0.5555555555555556,0.5714285714285714,36,20,16,15,35,0.9111747851002864,0.8081,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,apical_f050,0.5,hgb,full,0.5555555555555556,0.5714285714285714,36,20,16,15,35,0.9111747851002864,0.8081,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,hgb,full,0.2647058823529412,0.5142857142857142,68,18,50,17,35,0.8080229226361032,0.8571,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,pyramidal,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,hgb,full,0.2361111111111111,0.4857142857142857,72,17,55,18,35,0.7908309455587392,0.84618,,paper/results/flag_improvement_sweep_seed123_branch3.csv
