scope,feature_mode,operating_point,target_value,n_folds,precision_lt_target_mean,precision_lt_target_sd,recall_lt_target_mean,recall_lt_target_sd,binary_accuracy_mean,binary_accuracy_sd,reject_rate_mean,reject_rate_sd,n_rejected_mean,n_rejected_sd,tp_mean,tp_sd,fp_mean,fp_sd,fn_mean,fn_sd,kept_f1_p10_mean,kept_f1_p10_sd,test_ap_mean,test_ap_sd,test_auc_mean,test_auc_sd
all,compact,validation_recall,0.9,3,0.21337228844676712,0.07859956030248155,0.8320454838865339,0.0851103749609054,0.7358898612152296,0.09247301043335365,0.312600676103635,0.09769784150250146,728.3333333333334,212.13753400408265,144.66666666666666,11.71893055416463,583.6666666666666,222.72030292124992,31.333333333333332,20.5993527406405,0.9971733333333334,0.0048959302827279874,0.3854810318781083,0.038079100292158795,0.864627688527906,0.010815727387301029
all,v12_oof,fixed_reject_rate,0.05,3,0.5232092287189739,0.07473466572150612,0.34931713030509964,0.015726613923975948,0.9273146003019367,0.005222054449450739,0.05000000000000001,8.498374721940739e-18,117.0,2.6457513110645907,61.333333333333336,10.016652800877813,55.666666666666664,7.637626158259733,114.66666666666667,22.501851775650227,0.8643366666666666,0.07772488490395672,0.47411649776168696,0.06199277628144489,0.901468305681191,0.010274706843379833
all,v12_oof,fixed_reject_rate,0.1,3,0.43086015997067967,0.04817000187440103,0.5769986804438135,0.0259147121840117,0.9111840452678442,0.002212385113615748,0.10000000000000002,1.6996749443881478e-17,234.0,5.5677643628300215,101.0,13.74772708486752,133.0,8.18535277187245,75.0,18.33030277982336,0.96111,0.0378993970928298,0.47411649776168696,0.06199277628144489,0.901468305681191,0.010274706843379833
all,v12_oof,fixed_reject_rate,0.15,3,0.3498740094128912,0.038786371767859505,0.7039650351717431,0.057463133083564905,0.8799845565618657,0.005168819529093028,0.15,0.0,351.0,8.18535277187245,123.0,16.46207763315433,228.0,9.16515138991168,53.0,17.69180601295413,0.99266,0.00818972527011742,0.47411649776168696,0.06199277628144489,0.901468305681191,0.010274706843379833
all,v12_oof,validation_recall,0.5,3,0.4812030317690695,0.06542989695896365,0.4814564838261521,0.09826242093475601,0.9208784592723025,0.007655123484719594,0.07577726828472664,0.019937845212240346,177.33333333333334,46.1121820491433,84.0,18.083141320025124,93.33333333333333,33.005050118630834,92.0,26.153393661244042,0.9167733333333334,0.059491654316663,0.47411649776168696,0.06199277628144489,0.901468305681191,0.010274706843379833
all,v12_oof,validation_recall,0.7,3,0.37646923202622756,0.05269354406126921,0.6824172106709474,0.08779722484657132,0.890280723202005,0.011130476395011137,0.1360061814070345,0.020185905214639432,318.0,43.139309220245984,118.66666666666667,13.203534880225574,199.33333333333334,41.645327869202006,57.333333333333336,23.35237318418266,0.985,0.016454786537661296,0.47411649776168696,0.06199277628144489,0.901468305681191,0.010274706843379833
all,v12_oof,validation_recall,0.8,3,0.3273990460306811,0.04710679757422329,0.7336462700115636,0.10972443431291905,0.865449743890601,0.018366782418189898,0.16850251086955592,0.03045168830815792,394.0,67.02238432046416,127.66666666666667,18.009256878986797,266.3333333333333,60.18582335843993,48.333333333333336,23.860706890897706,0.9939566666666666,0.00592854394715376,0.47411649776168696,0.06199277628144489,0.901468305681191,0.010274706843379833
all,v12_oof,validation_recall,0.9,3,0.2367931868128951,0.052389360463898145,0.8568522812051795,0.07881859928177437,0.7761349044366409,0.048649718781428306,0.27629405750511205,0.053048403863938255,645.3333333333334,111.79147254300452,149.33333333333334,16.165807537309522,496.0,119.61605243444544,26.666666666666668,17.616280348965084,1.0,0.0,0.47411649776168696,0.06199277628144489,0.901468305681191,0.010274706843379833
interneuron,baseline_oof,fixed_reject_rate,0.05,3,0.3101604278074866,0.10696672505295898,0.3420040059034366,0.0623605240737503,0.936469346058387,0.0037611040743505885,0.05000000000000001,8.498374721940739e-18,33.333333333333336,0.5773502691896258,10.333333333333334,3.511884584284246,23.0,3.605551275463989,19.333333333333332,2.081665999466133,1.0,0.0,0.2461780361676887,0.1015222792078911,0.8484213982596801,0.0024670390876382143
interneuron,baseline_oof,fixed_reject_rate,0.1,3,0.21396582151630442,0.04326369800366901,0.4816835336285052,0.030453488099006658,0.8978787920340432,0.002479053639658649,0.10000000000000002,1.6996749443881478e-17,67.0,1.0,14.333333333333334,2.8867513459481287,52.666666666666664,3.0550504633038935,15.333333333333334,2.516611478423583,1.0,0.0,0.2461780361676887,0.1015222792078911,0.8484213982596801,0.0024670390876382143
