file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__202498_006_edited.swc,pyramidal,37298,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,33789,1095,2413
hpf_ca1__202498_012_edited.swc,pyramidal,35858,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,33586,897,1374
hpf_ca1__202498_019_edited.swc,pyramidal,58196,0.928569,0.500000,1.000000,1.000000,0.000000,,1,54038,0,4157
hpf_ca1__202499_004_edited.swc,pyramidal,51679,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,48217,1626,1835
hpf_ca1__202499_017_edited.swc,pyramidal,22802,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,20690,826,1285
hpf_ca1__202500_007_edited.swc,pyramidal,37389,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,34523,1179,1686
hpf_ca1__202501_020_edited.swc,pyramidal,22879,1.000000,1.000000,1.000000,1.000000,1.000000,,1,22243,635,0
hpf_ca1__202501_022_edited.swc,pyramidal,36094,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,33129,1166,1798
hpf_ca1__202501_023_edited.swc,pyramidal,31532,1.000000,1.000000,1.000000,1.000000,1.000000,,1,29564,1967,0
hpf_ca1__202503_023_edited.swc,pyramidal,41023,0.976184,0.610100,1.000000,1.000000,0.000000,0.830400,1,37653,0,3369
hpf_ca1__202503_026_edited.swc,pyramidal,42746,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,40246,879,1620
hpf_ca1__202506_039_edited.swc,pyramidal,66475,0.985558,0.594000,1.000000,1.000000,0.000000,0.781900,1,63793,0,2681
hpf_ca1__202544_017_edited.swc,pyramidal,51004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,48168,1367,1468
hpf_ca1__202544_027_edited.swc,pyramidal,99432,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,95963,1420,2048
