seed,file,cell_type,baseline_method,metric,v12_value,baseline_value,diff
123,hpf_ca1__202501_020_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202501_022_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202501_023_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202503_023_edited.swc,pyramidal,lmeasure_rf,accuracy,0.97618400,0.97620000,-0.00001600
123,hpf_ca1__202503_026_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202506_039_edited.swc,pyramidal,lmeasure_rf,accuracy,0.98555800,0.98560000,-0.00004200
123,hpf_ca1__202544_017_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202544_027_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202548_039_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202567_001_edited.swc,pyramidal,lmeasure_rf,accuracy,0.95037100,0.95040000,-0.00002900
123,hpf_ca1__202567_005_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
