path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__18--OTC-10-nM-Y1-8-weeks-20x.swc,pyramidal/swc/neuromorpho__18--OTC-10-nM-Y1-8-weeks-20x.swc,pyramidal,neuromorpho,84812,True,True,True,True,True,True,True,True,True,2268,1,0,2267,0,0,1,0,0,,3,1,2,2270,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__18-9.swc,pyramidal/swc/neuromorpho__18-9.swc,pyramidal,neuromorpho,373564,True,True,False,True,True,False,True,True,True,10807,0,0,0,0,10807,1,0,10807,6:10807,0,0,0,10807,False,"fail: has_soma,has_neurites"
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-1.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-1.swc,pyramidal,neuromorpho,30366,True,True,True,True,True,True,True,True,True,981,1,0,980,0,0,1,0,0,,3,1,2,983,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-2.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-2.swc,pyramidal,neuromorpho,98613,True,True,True,True,True,True,True,True,True,3040,1,0,3039,0,0,1,0,0,,3,1,2,3042,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-3.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-3.swc,pyramidal,neuromorpho,60292,True,True,True,True,True,True,True,True,True,1896,1,0,1895,0,0,1,0,0,,3,1,2,1898,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-4.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-4.swc,pyramidal,neuromorpho,46829,True,True,True,True,True,True,True,True,True,1460,1,0,1459,0,0,1,0,0,,3,1,2,1462,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-5.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-5.swc,pyramidal,neuromorpho,49584,True,True,True,True,True,True,True,True,True,1477,1,0,1476,0,0,1,0,0,,3,1,2,1479,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-6.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-6.swc,pyramidal,neuromorpho,60184,True,True,True,True,True,True,True,True,True,1896,1,0,1895,0,0,1,0,0,,3,1,2,1898,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-7.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop-7.swc,pyramidal,neuromorpho,100583,True,True,True,True,True,True,True,True,True,3072,1,0,3071,0,0,1,0,0,,3,1,2,3074,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-1_crop.swc,pyramidal,neuromorpho,36873,True,True,True,True,True,True,True,True,True,1174,1,0,1173,0,0,1,0,0,,3,1,2,1176,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-2_crop-1.swc,pyramidal/swc/neuromorpho__180608_morpho4_d4_hippo_D4-Hippo-Fresh-2_crop-1.swc,pyramidal,neuromorpho,76136,True,True,True,True,True,True,True,True,True,2351,1,0,2350,0,0,1,0,0,,3,1,2,2353,True,
