experiment,feature_mode,subset,target,n_rows,n_bad,bad_rate,saved_bundle,target_recall,model_name,feature_set,val_precision,val_recall,score_threshold,test_precision,test_recall,test_n_rejected,test_tp,test_fp,test_fn,test_accuracy,test_kept_f1_p10,val_ap,test_ap
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,axon_f050,657,34,0.0517503805175038,,0.9,rf,full,0.875,1.0,0.14624773769149169,0.6,0.8571428571428571,10,6,4,1,0.9621212121212122,1.0,0.95,0.875
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,axon_f050,657,34,0.0517503805175038,,0.95,rf,full,0.875,1.0,0.14624773769149169,0.6,0.8571428571428571,10,6,4,1,0.9621212121212122,1.0,0.95,0.875
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,basal_f060,657,34,0.0517503805175038,,0.5,extra_trees,full,1.0,0.5714285714285714,0.47822838123991745,0.5,0.2857142857142857,4,2,2,5,0.946969696969697,1.0,0.8133333333333334,1.0
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,basal_f060,657,34,0.0517503805175038,,0.7,hgb,full,0.625,0.7142857142857143,0.013498221190964263,0.23529411764705882,0.5714285714285714,17,4,13,3,0.8787878787878788,1.0,0.7095238095238096,1.0
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,basal_f060,657,34,0.0517503805175038,,0.8,gb,no_lab,0.5,0.8571428571428571,0.0013158006593991087,0.25,0.7142857142857143,20,5,15,2,0.8712121212121212,1.0,0.6520202020202019,0.5
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,basal_f060,657,34,0.0517503805175038,,0.9,gb,full,0.4375,1.0,0.000611658053575295,0.20833333333333334,0.7142857142857143,24,5,19,2,0.8409090909090909,1.0,0.6575757575757576,0.5
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,basal_f060,657,34,0.0517503805175038,,0.95,gb,full,0.4375,1.0,0.000611658053575295,0.20833333333333334,0.7142857142857143,24,5,19,2,0.8409090909090909,1.0,0.6575757575757576,0.5
two_stage_max_failure_heads,xmodel,interneuron,cell_f060+axon_f050+basal_f060,657,34,0.0517503805175038,,0.5,two_stage,max_validation_percentile,1.0,0.5714285714285714,0.9924242424242424,1.0,0.5714285714285714,4,4,0,3,0.9772727272727273,1.0,,
two_stage_max_failure_heads,xmodel,interneuron,cell_f060+axon_f050+basal_f060,657,34,0.0517503805175038,,0.7,two_stage,max_validation_percentile,1.0,0.7142857142857143,0.9848484848484849,1.0,0.5714285714285714,4,4,0,3,0.9772727272727273,1.0,,
two_stage_max_failure_heads,xmodel,interneuron,cell_f060+axon_f050+basal_f060,657,34,0.0517503805175038,,0.8,two_stage,max_validation_percentile,1.0,1.0,0.9772727272727273,0.5714285714285714,0.5714285714285714,7,4,3,3,0.9545454545454546,1.0,,
two_stage_max_failure_heads,xmodel,interneuron,cell_f060+axon_f050+basal_f060,657,34,0.0517503805175038,,0.9,two_stage,max_validation_percentile,1.0,1.0,0.9772727272727273,0.5714285714285714,0.5714285714285714,7,4,3,3,0.9545454545454546,1.0,,
two_stage_max_failure_heads,xmodel,interneuron,cell_f060+axon_f050+basal_f060,657,34,0.0517503805175038,,0.95,two_stage,max_validation_percentile,1.0,1.0,0.9772727272727273,0.5714285714285714,0.5714285714285714,7,4,3,3,0.9545454545454546,1.0,,
single_cell_f060,xmodel_sanity,all,cell_f060,2402,211,0.08784346378018318,,0.5,hgb,full,0.84,0.5,0.9136087192120504,0.8421052631578947,0.38095238095238093,19,16,3,26,0.9397089397089398,0.7277,0.7872733671252772,0.7535113637190144
single_cell_f060,xmodel_sanity,all,cell_f060,2402,211,0.08784346378018318,,0.7,extra_trees,numeric_only,0.75,0.7142857142857143,0.5453802325963581,0.6444444444444445,0.6904761904761905,45,29,16,13,0.9397089397089398,0.975,0.782362205236786,0.7062995450217596
single_cell_f060,xmodel_sanity,all,cell_f060,2402,211,0.08784346378018318,paper/models/flag_improvement_sweep_seed123_branch3_v12ens/all_xmodel_sanity_cell_f060_r080.joblib,0.8,hgb,numeric_only,0.7083333333333334,0.8095238095238095,0.2657071176500888,0.6274509803921569,0.7619047619047619,51,32,19,10,0.9397089397089398,0.9856,0.7843698628905208,0.7528069752583801
single_cell_f060,xmodel_sanity,all,cell_f060,2402,211,0.08784346378018318,,0.9,extra_trees,full,0.5757575757575758,0.9047619047619048,0.388774164180352,0.5142857142857142,0.8571428571428571,70,36,34,6,0.9168399168399168,0.9981,0.7757895860103935,0.7032398857955805
