scope,feature_mode,test_seed,selected_model,selected_feature_set,n_train,n_val,n_test,n_bad_test,bad_rate_test,before_f1_mean,before_f1_p10,test_ap,test_auc,model_path,operating_point,target_value,validation_precision,validation_recall,score_threshold,reject_rate,n_rejected,precision_lt_target,recall_lt_target,binary_accuracy,kept_f1_p10,rejected_f1_mean,tp,fp,fn,tn,kept_f1_mean,kept_f1_p25
pyramidal,baseline_oof,42,hgb,full,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.6993854659556031,0.927520287318437,paper/models/final_flag_multiseed_loso/pyramidal_baseline_oof_testseed42_f060.joblib,validation_recall,0.8,0.6363636363636364,0.8032786885245902,0.41262006039562765,0.08844765342960288,147,0.6530612244897959,0.6620689655172414,0.9398315282791817,0.89586,0.5643278911564625,96,51,49,1466,,
pyramidal,baseline_oof,42,hgb,full,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.6993854659556031,0.927520287318437,paper/models/final_flag_multiseed_loso/pyramidal_baseline_oof_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,166,0.6024096385542169,0.6896551724137931,0.9332129963898917,0.9124,0.5936957831325301,100,66,45,1451,0.9639469251336897,1.0
pyramidal,baseline_oof,789,rf,no_lab,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.4926771132653373,0.9191763895294875,paper/models/final_flag_multiseed_loso/pyramidal_baseline_oof_testseed789_f060.joblib,validation_recall,0.8,0.5045045045045045,0.8,0.28566835883231806,0.16749072929542647,271,0.3726937269372694,0.8632478632478633,0.8850432632880099,0.9973599999999999,0.7235963099630996,101,170,16,1331,,
pyramidal,baseline_oof,789,rf,no_lab,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.4926771132653373,0.9191763895294875,paper/models/final_flag_multiseed_loso/pyramidal_baseline_oof_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,162,0.48148148148148145,0.6666666666666666,0.9239802224969098,0.96885,0.6415771604938272,78,84,39,1417,0.9672094780219781,1.0
pyramidal,v12_oof,123,hgb,no_lab,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.640587054344543,0.9141408682116914,paper/models/final_flag_multiseed_loso/pyramidal_v12_oof_testseed123_f060.joblib,validation_recall,0.8,0.7192982456140351,0.803921568627451,0.5777253827666335,0.0991404011461318,173,0.6011560693641619,0.5875706214689266,0.9186246418338109,0.8087200000000001,0.5759843930635837,104,69,73,1499,,
pyramidal,v12_oof,123,hgb,no_lab,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.640587054344543,0.9141408682116914,paper/models/final_flag_multiseed_loso/pyramidal_v12_oof_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,174,0.603448275862069,0.5932203389830508,0.9191977077363896,0.8125,0.5757316091954022,105,69,72,1499,0.9511968809675366,1.0
pyramidal,v12_oof,42,hgb,no_lab,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.6793285634343651,0.9220785124906236,paper/models/final_flag_multiseed_loso/pyramidal_v12_oof_testseed42_f060.joblib,validation_recall,0.8,0.6447368421052632,0.8032786885245902,0.42796545646637985,0.08604091456077016,143,0.6083916083916084,0.6,0.9314079422382672,0.8839600000000001,0.5771531468531469,87,56,58,1461,,
pyramidal,v12_oof,42,hgb,no_lab,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.6793285634343651,0.9220785124906236,paper/models/final_flag_multiseed_loso/pyramidal_v12_oof_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,166,0.5662650602409639,0.6482758620689655,0.9259927797833934,0.91065,0.6050524096385543,94,72,51,1445,0.9626867647058823,1.0
pyramidal,v12_oof,789,rf,no_lab,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.5001038434777025,0.9245460291429645,paper/models/final_flag_multiseed_loso/pyramidal_v12_oof_testseed789_f060.joblib,validation_recall,0.8,0.49557522123893805,0.8,0.2910283654825548,0.16563658838071693,268,0.376865671641791,0.8632478632478633,0.8868974042027195,0.9965900000000001,0.7207496268656717,101,167,16,1334,,
pyramidal,v12_oof,789,rf,no_lab,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.5001038434777025,0.9245460291429645,paper/models/final_flag_multiseed_loso/pyramidal_v12_oof_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,162,0.48148148148148145,0.6666666666666666,0.9239802224969098,0.96885,0.6421759259259259,78,84,39,1417,0.9671428571428572,1.0
