seed,ablation,ablation_label,file,cell_type_gt,stage1_pred,stage1_conf,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201990_041_edited.swc,pyramidal,,,50121,1.000000,1.000000,1.000000,1.000000,1.000000,,1,47556,2564,0
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201990_041_edited.swc,pyramidal,pyramidal,0.996689,50121,1.000000,1.000000,1.000000,1.000000,1.000000,,1,47556,2564,0
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201990_069_edited.swc,pyramidal,,,27674,0.989051,0.952700,1.000000,0.994200,0.911300,,1,26117,1556,0
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201990_069_edited.swc,pyramidal,,,27674,0.989051,0.952700,1.000000,0.994200,0.911300,,1,26117,1556,0
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201990_069_edited.swc,pyramidal,,,27674,1.000000,1.000000,1.000000,1.000000,1.000000,,1,25814,1859,0
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201990_069_edited.swc,pyramidal,,,27674,1.000000,1.000000,1.000000,1.000000,1.000000,,1,25814,1859,0
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201990_069_edited.swc,pyramidal,pyramidal,0.997101,27674,1.000000,1.000000,1.000000,1.000000,1.000000,,1,25814,1859,0
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__202217_016_edited.swc,pyramidal,,,26143,0.975405,0.903300,1.000000,0.986800,0.819800,,1,24679,1463,0
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__202217_016_edited.swc,pyramidal,,,26143,0.975405,0.903300,1.000000,0.986800,0.819800,,1,24679,1463,0
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__202217_016_edited.swc,pyramidal,,,26143,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24036,2106,0
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__202217_016_edited.swc,pyramidal,,,26143,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24036,2106,0
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__202217_016_edited.swc,pyramidal,pyramidal,0.979787,26143,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24036,2106,0
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__202217_018_edited.swc,pyramidal,,,45687,0.996761,0.981400,1.000000,0.998300,0.994500,0.951400,1,43100,1274,1312
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__202217_018_edited.swc,pyramidal,,,45687,0.996170,0.974500,1.000000,0.998300,0.984200,0.941000,1,43100,1301,1285
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__202217_018_edited.swc,pyramidal,,,45687,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42952,1288,1446
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__202217_018_edited.swc,pyramidal,,,45687,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42952,1288,1446
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__202217_018_edited.swc,pyramidal,pyramidal,0.997118,45687,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42952,1288,1446
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__202217_021_edited.swc,pyramidal,,,22279,0.988913,0.961600,1.000000,0.994000,0.999300,0.891600,1,20494,767,1017
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__202217_021_edited.swc,pyramidal,,,22279,0.981417,0.900700,1.000000,0.994000,0.894200,0.814000,1,20494,820,964
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__202217_021_edited.swc,pyramidal,,,22279,0.999955,0.999700,1.000000,1.000000,0.999300,0.999600,1,20248,767,1263
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__202217_021_edited.swc,pyramidal,,,22279,0.999955,0.999700,1.000000,1.000000,0.999300,0.999600,1,20248,767,1263
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__202217_021_edited.swc,pyramidal,pyramidal,0.996760,22279,0.999955,0.999700,1.000000,1.000000,0.999300,0.999600,1,20248,767,1263
