name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__Cell-12.swc,726,interneuron,True,0.478,0.652,0.916,0,664,61
neuromorpho__cell-12_9.swc,1631,interneuron,True,0.9035,0.9517,0.824,0,1630,0
neuromorpho__Cell-13-Ch01.swc,309,pyramidal,False,0.4111,0.6074,0.699,0,272,36
neuromorpho__cell-13_8.swc,2009,interneuron,True,0.7194,0.8597,0.562,0,2008,0
neuromorpho__Cell-14-Ch01.swc,493,pyramidal,False,1.0,1.0,1.0,0,377,115
neuromorpho__cell-14_6.swc,1659,interneuron,True,0.6613,0.8306,0.4943,0,1658,0
neuromorpho__Cell-15-Ch01.swc,255,interneuron,True,0.4442,0.6295,0.8,0,203,51
neuromorpho__cell-15_6.swc,1507,interneuron,True,0.8902,0.9451,0.8023,0,1506,0
neuromorpho__Cell-16-MOUSE.swc,247,pyramidal,False,0.732,0.866,0.5789,0,246,0
neuromorpho__cell-16_6.swc,1793,interneuron,True,0.7603,0.8801,0.6135,0,1792,0
neuromorpho__Cell-17.swc,482,pyramidal,False,0.0224,0.3482,0.0249,0,452,29
neuromorpho__cell-17_7.swc,1793,interneuron,True,0.8876,0.9438,0.7981,0,1792,0
neuromorpho__Cell-18.swc,273,interneuron,True,1.0,1.0,1.0,0,272,0
neuromorpho__cell-18_6.swc,1731,interneuron,True,0.4351,0.7175,0.2785,0,1730,0
neuromorpho__Cell-19.swc,98,interneuron,True,1.0,1.0,1.0,0,97,0
neuromorpho__Cell-2-ch01-3Dvis.swc,417,pyramidal,False,0.8131,0.9066,0.6859,0,416,0
neuromorpho__Cell-20.swc,335,interneuron,True,0.4424,0.6283,0.794,0,265,69
neuromorpho__Cell-20111125SC1.swc,14503,pyramidal,False,0.7431,0.8287,0.9037,0,2217,12285
neuromorpho__Cell-21.swc,510,pyramidal,False,0.3056,0.5371,0.4412,0,485,24
neuromorpho__Cell-22.swc,264,interneuron,True,0.3783,0.5855,0.6098,0,160,103
neuromorpho__Cell-23.swc,226,interneuron,True,1.0,1.0,1.0,0,225,0
neuromorpho__Cell-24.swc,433,interneuron,True,0.4764,0.6509,0.9099,0,393,39
neuromorpho__Cell-25-Ch01.swc,160,interneuron,True,1.0,1.0,1.0,0,159,0
neuromorpho__Cell-26.swc,539,pyramidal,False,0.2569,0.5046,0.3469,0,467,71
neuromorpho__Cell-27.swc,702,pyramidal,False,0.4562,0.6374,0.839,0,588,113
neuromorpho__Cell-28-Ch01.swc,346,interneuron,True,0.4462,0.6308,0.8064,0,279,66
neuromorpho__Cell-3-1.swc,510,pyramidal,False,0.3524,0.5683,0.5451,0,436,73
neuromorpho__cell-3_15.swc,1860,interneuron,True,0.9669,0.9835,0.936,0,1859,0
neuromorpho__Cell-4-MOUSE.swc,354,pyramidal,False,0.3752,0.5835,0.6017,0,333,20
neuromorpho__cell-4_16.swc,1806,interneuron,True,0.8641,0.932,0.7608,0,1805,0
neuromorpho__Cell-5-1.swc,557,interneuron,True,0.4633,0.6422,0.8636,0,480,76
neuromorpho__cell-5_14.swc,3052,interneuron,True,0.8605,0.9303,0.7552,0,3051,0
neuromorpho__Cell-6.swc,1467,pyramidal,False,1.0,1.0,1.0,0,1323,143
neuromorpho__cell-6_12.swc,2014,interneuron,True,0.8723,0.9361,0.7736,0,2013,0
neuromorpho__Cell-7.swc,342,pyramidal,False,1.0,1.0,1.0,0,341,0
neuromorpho__cell-7_11.swc,1403,interneuron,True,0.951,0.9755,0.9066,0,1402,0
