method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202499_020_edited.swc,pyramidal,48925,0.9833,0.8716
neurom_rf,hpf_ca1__202500_003_edited.swc,pyramidal,58304,0.9896,0.9169
neurom_rf,hpf_ca1__202500_006_edited.swc,pyramidal,26976,0.9828,0.9201
neurom_rf,hpf_ca1__202500_007_edited.swc,pyramidal,37389,0.9934,0.9429
neurom_rf,hpf_ca1__202501_017_edited.swc,pyramidal,48046,0.9944,0.9447
neurom_rf,hpf_ca1__202501_019_edited.swc,pyramidal,48560,0.9882,0.9042
neurom_rf,hpf_ca1__202503_021_edited.swc,pyramidal,79598,0.9928,0.9437
neurom_rf,hpf_ca1__202503_024_edited.swc,pyramidal,95221,0.9817,0.8250
neurom_rf,hpf_ca1__202503_036_edited.swc,pyramidal,51159,0.9891,0.9210
neurom_rf,hpf_ca1__202506_008_edited.swc,pyramidal,45733,0.9893,0.8842
neurom_rf,hpf_ca1__202506_039_edited.swc,pyramidal,66475,0.9959,0.9389
neurom_rf,hpf_ca1__202508_003_edited.swc,pyramidal,46711,0.9683,0.7996
neurom_rf,hpf_ca1__202508_010_edited.swc,pyramidal,53598,0.9751,0.7831
neurom_rf,hpf_ca1__202544_027_edited.swc,pyramidal,99432,0.9893,0.8627
neurom_rf,hpf_ca1__202567_002_edited.swc,pyramidal,31583,0.8999,0.7374
neurom_rf,hpf_ca1__202567_006_edited.swc,pyramidal,15168,0.9183,0.7761
neurom_rf,hpf_ca1__202567_011_edited.swc,pyramidal,19332,0.6706,0.5336
neurom_rf,hpf_ca1__202664_003_edited.swc,pyramidal,16562,0.9458,0.8405
neurom_rf,hpf_ca1__202666_014_edited.swc,pyramidal,12210,0.9353,0.8728
neurom_rf,hpf_ca1__202668_014_edited.swc,pyramidal,16138,0.9568,0.8308
neurom_rf,hpf_ca1__202668_018_edited.swc,pyramidal,19906,0.7724,0.7714
neurom_rf,hpf_ca1__202668_019_edited.swc,pyramidal,29031,0.9782,0.8353
neurom_rf,hpf_ca1__202668_023_edited.swc,pyramidal,17879,0.7773,0.6306
neurom_rf,hpf_ca1__202669_007_edited.swc,pyramidal,36337,0.9530,0.6829
