precision,recall,threshold
0.08146890911896312,1.0,0.0039394520696424
0.08148148148148149,1.0,0.0039414650851939
0.08155699721964782,1.0,0.0039422372826716
0.08156959678665225,1.0,0.003942628988534
0.0815822002472188,1.0,0.0039453198208895
0.08160741885625966,1.0,0.0039484845202869
0.08164527601670017,1.0,0.0039505334782495
0.08165790287658521,1.0,0.003951508484026
0.08167053364269142,1.0,0.0039538636204856
0.08168316831683169,1.0,0.0039581277370417
0.08169580690082005,1.0,0.0039581376015654
0.08170844939647168,1.0,0.0039675799100838
0.08172109580560284,1.0,0.0039802659192694
0.08173374613003095,1.0,0.00398138793832
0.08174640037157455,1.0,0.0039901790999172
0.0817970565453137,1.0,0.0039927094176735
0.08180973039975209,1.0,0.0039947948964526
0.08182240818224082,1.0,0.0039978133835485
0.08183508989460632,1.0,0.0040068386787714
0.08184777553867617,1.0,0.0040134138150388
0.08186046511627906,1.0,0.0040159034437824
0.08187315862924484,1.0,0.0040193252758786
0.08188585607940446,1.0,0.0040212092793175
0.08189855746859004,1.0,0.0040221880485451
0.08191126279863481,1.0,0.0040280314544988
0.08192397207137316,1.0,0.004029764166289
0.08194940245227379,1.0,0.0040301865340081
0.08196212356411052,1.0,0.0040328565835523
0.08197484862598975,1.0,0.0040372480431027
